HP_ID,Model_ID,tweedie_variance_power/default,tweedie_variance_power/actual,tweedie_link_power/default,tweedie_link_power/actual,alpha/default,alpha/actual/0,lambda/default,lambda/actual/0,standardize/default,standardize/actual,missing_values_handling/default,missing_values_handling/actual,balance_classes/default,balance_classes/actual,class_sampling_factors/default,class_sampling_factors/actual,max_after_balance_size/default,max_after_balance_size/actual,ntrees/default,ntrees/actual,max_depth/default,max_depth/actual,min_rows/default,min_rows/actual,nbins/default,nbins/actual,nbins_top_level/default,nbins_top_level/actual,nbins_cats/default,nbins_cats/actual,stopping_rounds/default,stopping_rounds/actual,stopping_metric/default,stopping_metric/actual,stopping_tolerance/default,stopping_tolerance/actual,max_runtime_secs/default,max_runtime_secs/actual,seed/default,seed/actual,learn_rate_annealing/default,learn_rate_annealing/actual,distribution/default,distribution/actual,quantile_alpha/default,quantile_alpha/actual,tweedie_power/default,tweedie_power/actual,huber_alpha/default,huber_alpha/actual,sample_rate/default,sample_rate/actual,sample_rate_per_class/default,sample_rate_per_class/actual,col_sample_rate/default,col_sample_rate/actual,col_sample_rate_change_per_level/default,col_sample_rate_change_per_level/actual,col_sample_rate_per_tree/default,col_sample_rate_per_tree/actual,min_split_improvement/default,min_split_improvement/actual,histogram_type/default,histogram_type/actual,max_abs_leafnode_pred/default,max_abs_leafnode_pred/actual,pred_noise_bandwidth/default,pred_noise_bandwidth/actual,categorical_encoding/default,categorical_encoding/actual
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,0,0,1,1,,0,,10.26311177,TRUE,TRUE,MeanImputation,MeanImputation,FALSE,FALSE,,,5,5,,,,,,,,,,,,,,,,,,,0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,137,5,4,10,15,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-2.82736E+17,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,1,,,1,0.4,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
5,5,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,117,5,6,10,100,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-8.0979E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.5,,,1,0.4,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,28,5,3,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,-2.85194E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.7,1,1,1,0.4,0.00001,0.00001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
8,8,,,,,,,,,,,,,FALSE,FALSE,,,5,5,50,132,5,6,10,10,20,20,1024,1024,1024,1024,0,0,AUTO,logloss,0.001,0.004472091,0,0,-1,8.6691E+18,1,1,AUTO,bernoulli,0.5,0.5,1.5,1.5,0.9,0.9,1,0.9,,,1,0.7,1,1,1,0.4,0.00001,0.0001,AUTO,AUTO,1.7976931348623157e+308,1.7976931348623157e+308,0,0,,
9,9,,,,,,,,,,,,,FALSE,FALSE,,,5,5,,,20,20,1,1,20,20,1024,1024,1024,1024,0,0,AUTO,AUTO,0.001,0.004472091,0,0,-1,4.56679E+18,,,AUTO,multinomial,,,,,,,0.632000029,0.632000029,,,,,1,1,1,1,0.00001,0.00001,AUTO,AUTO,,,,,AUTO,AUTO
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
